Title,Name,Name_original,CV,Element,Class,Limit?,Release,Weapon_on,Weapon_final,Weapon_wait,From_3_to_4,,,
Anne Happy,Hanakoizumi An,花小泉 杏,花守ゆみり,s,k,0,2018/7/3,2019/3/13,2019/5/30,253,78,,,
Kiniro Mosaic,Oomiya Shinobu,大宮 忍,西明日香,s,w,0,2020/3/31,,,253,X,,,
School-Live!,Takeya Yuki,丈槍 由紀,水瀬いのり,w,a,0,2020/3/31,,,253,X,,,
Urara Meirochou,Chiya,千矢,原田彩楓,w,m,0,2020/3/31,,,253,X,,,
Kirara Fantasia,Kanna,カンナ,日笠陽子,m,k,0,2020/4/3,,,250,X,,,
Yuru Camp,Shima Rin,志摩 リン,東山奈央,a,m,0,2018/4/25,2018/12/27,2019/3/28,246,91,,,
Comic Girls,Koizuka Koyume,戀塚 小夢,本渡楓,e,m,0,2019/6/13,2020/2/13,,245,300+,,,
Hanayamata,Sekiya Naru,関谷 なる,上田麗奈,s,p,0,2018/5/30,2019/1/29,2019/4/11,244,72,,,
Sansha Sanyou,Hayama Teru,葉山 照,吉岡麻耶,w,a,0,2020/4/14,,,239,X,,,
Kill Me Baby,Goshiki Agiri,呉織 あぎり,篠田みなみ,e,a,0,2020/4/16,,,237,X,,,
Sakura Trick,Takayama Haruka,高山 春香,戸松遙,f,p,0,2018/4/3,2018/11/21,2019/2/27,232,98,,,
Comic Girls,Moeta Kaoruko,萌田 薫子,赤尾ひかる,e,p,0,2018/6/13,2019/1/29,2019/4/11,230,72,,,
Hidamari Sketch,Miyako,宮子,水橋かおり,s,w,0,2018/9/27,2019/5/15,2019/7/24,230,70,,,
A Channel,Imai Yutaka_maid,ユタカ【メイド】,又吉愛,w,m,1,2020/4/23,,,230,X,,,
NEW GAME!,Takimoto Hifumi_maid,ひふみ【メイド】,山口愛,w,p,1,2020/4/23,,,230,X,,,
School-Live!,Takeya Yuki,丈槍 由紀,水瀬いのり,a,p,0,2017/12/11,2018/7/23,2018/10/25,224,94,,,
Anima Yell!,Arima Hizume_maid,ひづめ【メイド】,山田唯菜,m,a,1,2020/4/29,,,224,X,,,
Kirara Fantasia,Cork_maid,コルク【メイド】,桑原由気,e,m,1,2020/4/29,,,224,X,,,
Hanayamata,Nishimikado Tami,西御門 多美,大坪由佳,s,w,0,2020/5/14,,,209,X,,,
Harukana Receive,Thomas Emily,トーマス・恵美理,末柄里恵,a,p,0,2020/5/18,,,205,X,,,
Hidamari Sketch,Yuno,ゆの,阿澄佳奈,s,p,0,2017/12/11,2018/6/28,2018/9/27,199,91,,,
NEW GAME!,Suzukaze Aoba,涼風 青葉,高田憂希,w,m,0,2017/12/11,2018/6/28,2018/9/27,199,91,,,
Urara Meirochou,Chiya,千矢,原田彩楓,f,k,0,2017/12/11,2018/6/28,2018/11/21,199,146,,,
Harukana Receive,Oozora Haruka,大空 遙,優木かな,f,k,0,2018/8/30,2019/3/13,2019/4/11,195,29,,,
Kiniro Mosaic,Kujou Karen_sports,カレン【運動會】,東山奈央,m,p,1,2020/5/28,,,195,X,,,
Koufuku Graffiti,Morino Kirin_sports,きりん【運動会】,大亀あすか,f,k,1,2020/5/28,,,195,X,,,
